country,iso_code,date,total_vaccinations,people_fully_vaccinated,daily_vaccinations,vaccines
Afghanistan,AFG,2021-04-22,240000.0,,8000.0,Oxford/AstraZeneca
Albania,ALB,2021-04-22,382998.0,,11216.0,"Pfizer/BioNTech, Sinovac"
Algeria,DZA,2021-02-19,75000.0,,3748.0,Sputnik V
Andorra,AND,2021-04-19,26414.0,4681.0,1050.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Angola,AGO,2021-04-19,395447.0,,18751.0,Oxford/AstraZeneca
Anguilla,AIA,2021-04-12,5835.0,,20.0,Oxford/AstraZeneca
Antigua and Barbuda,ATG,2021-04-22,29754.0,,250.0,Oxford/AstraZeneca
Argentina,ARG,2021-04-22,6693438.0,842206.0,108327.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Armenia,ARM,2021-03-31,565.0,,,Sputnik V
Aruba,ABW,2021-04-20,43945.0,16434.0,,Pfizer/BioNTech
Australia,AUS,2021-04-22,1785338.0,,60810.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Austria,AUT,2021-04-22,2693775.0,762975.0,48623.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Azerbaijan,AZE,2021-04-22,1381967.0,464090.0,15739.0,Sinovac
Bahamas,BHS,2021-04-12,15000.0,,757.0,Oxford/AstraZeneca
Bahrain,BHR,2021-04-22,1149633.0,507061.0,17330.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Bangladesh,BGD,2021-04-22,7746661.0,1967975.0,161375.0,Oxford/AstraZeneca
Barbados,BRB,2021-04-21,71350.0,,754.0,Oxford/AstraZeneca
Belarus,BLR,2021-04-09,,,,Sputnik V
Belgium,BEL,2021-04-22,3272118.0,733278.0,54057.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Belize,BLZ,2021-04-22,38211.0,,719.0,Oxford/AstraZeneca
Bermuda,BMU,2021-04-19,52337.0,22243.0,731.0,Pfizer/BioNTech
Bhutan,BTN,2021-04-22,479354.0,,246.0,Oxford/AstraZeneca
Bolivia,BOL,2021-04-22,619794.0,188656.0,16055.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Bosnia and Herzegovina,BIH,2021-04-09,15000.0,,263.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
Botswana,BWA,2021-04-10,31628.0,,2335.0,Oxford/AstraZeneca
Brazil,BRA,2021-04-22,35024957.0,9683990.0,430031.0,"Oxford/AstraZeneca, Sinovac"
Brunei,BRN,2021-04-06,2323.0,,581.0,Oxford/AstraZeneca
Bulgaria,BGR,2021-04-22,698517.0,151817.0,11163.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cambodia,KHM,2021-04-22,1845972.0,564566.0,48166.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
Cameroon,CMR,2021-04-12,400.0,,400.0,Sinopharm/Beijing
Canada,CAN,2021-04-22,11158636.0,974515.0,279047.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cape Verde,CPV,2021-03-24,2184.0,,364.0,Oxford/AstraZeneca
Cayman Islands,CYM,2021-04-21,63774.0,28988.0,531.0,Pfizer/BioNTech
Chile,CHL,2021-04-21,13722557.0,5873211.0,139393.0,"Pfizer/BioNTech, Sinovac"
China,CHN,2021-04-22,211223000.0,,3955286.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Colombia,COL,2021-04-21,4131008.0,1280891.0,96561.0,"Pfizer/BioNTech, Sinovac"
Congo,COG,2021-04-14,14297.0,,,"Sinopharm/Beijing, Sputnik V"
Costa Rica,CRI,2021-04-19,698327.0,247734.0,15933.0,Pfizer/BioNTech
Cote d'Ivoire,CIV,2021-04-22,109077.0,,3116.0,Oxford/AstraZeneca
Croatia,HRV,2021-04-22,746878.0,152906.0,14721.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Curacao,CUW,2021-04-22,77687.0,15365.0,2787.0,"Moderna, Pfizer/BioNTech"
Cyprus,CYP,2021-04-20,219654.0,58265.0,3635.0,Pfizer/BioNTech
Czechia,CZE,2021-04-22,2719610.0,924935.0,50624.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,DNK,2021-04-21,1691219.0,549173.0,29235.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Djibouti,DJI,2021-04-17,10246.0,,,Oxford/AstraZeneca
Dominica,DMA,2021-04-12,18423.0,475.0,28.0,Oxford/AstraZeneca
Dominican Republic,DOM,2021-04-14,1509898.0,600000.0,39935.0,"Oxford/AstraZeneca, Sinovac"
Ecuador,ECU,2021-04-20,601229.0,179292.0,19984.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Egypt,EGY,2021-04-03,,,,"Oxford/AstraZeneca, Sinopharm/Beijing"
El Salvador,SLV,2021-04-20,,,,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Equatorial Guinea,GNQ,2021-04-22,55799.0,8389.0,3453.0,Sinopharm/Beijing
Estonia,EST,2021-04-22,385612.0,89868.0,5259.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Eswatini,SWZ,2021-04-19,31846.0,,386.0,Oxford/AstraZeneca
Ethiopia,ETH,2021-04-08,430000.0,,,Oxford/AstraZeneca
Faeroe Islands,FRO,2021-04-22,15531.0,5249.0,175.0,"Moderna, Pfizer/BioNTech"
Falkland Islands,FLK,2021-04-14,4407.0,1775.0,12.0,Oxford/AstraZeneca
Fiji,FJI,2021-04-16,56000.0,,4861.0,Oxford/AstraZeneca
Finland,FIN,2021-04-21,1570979.0,140223.0,36288.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,2021-04-21,18284330.0,5019183.0,358315.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Gabon,GAB,2021-04-16,5762.0,400.0,262.0,Sinopharm/Beijing
Gambia,GMB,2021-04-09,16735.0,,1045.0,Oxford/AstraZeneca
Georgia,GEO,2021-04-22,33337.0,,1203.0,Oxford/AstraZeneca
Germany,DEU,2021-04-22,24286909.0,5790531.0,492867.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Ghana,GHA,2021-04-20,842521.0,,13675.0,Oxford/AstraZeneca
Gibraltar,GIB,2021-04-22,67366.0,31454.0,164.0,Pfizer/BioNTech
Greece,GRC,2021-04-22,2708780.0,784150.0,45947.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Greenland,GRL,2021-04-22,12434.0,4298.0,315.0,Pfizer/BioNTech
Grenada,GRD,2021-03-24,9821.0,,135.0,Oxford/AstraZeneca
Guatemala,GTM,2021-04-21,162110.0,1828.0,1602.0,"Moderna, Oxford/AstraZeneca"
Guernsey,GGY,2021-04-20,46587.0,13618.0,758.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Guinea,GIN,2021-04-21,116113.0,32789.0,1868.0,Sputnik V
Guyana,GUY,2021-04-15,73600.0,600.0,2974.0,Oxford/AstraZeneca
Honduras,HND,2021-04-09,57639.0,2639.0,802.0,"Moderna, Oxford/AstraZeneca"
Hong Kong,HKG,2021-04-22,1196682.0,407368.0,30798.0,"Pfizer/BioNTech, Sinovac"
Hungary,HUN,2021-04-22,4999342.0,1490478.0,72685.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Iceland,ISL,2021-04-22,113330.0,32609.0,2325.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
India,IND,2021-04-22,132754608.0,19170339.0,2218728.0,"Covaxin, Oxford/AstraZeneca"
Indonesia,IDN,2021-04-22,17920908.0,6488197.0,203169.0,"Oxford/AstraZeneca, Sinovac"
Iran,IRN,2021-04-22,667202.0,148298.0,26723.0,"Oxford/AstraZeneca, Sputnik V"
Iraq,IRQ,2021-04-16,197914.0,,9480.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
Ireland,IRL,2021-04-20,1240965.0,362142.0,20857.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Isle of Man,IMN,2021-04-22,67915.0,15508.0,606.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,2021-04-22,10379693.0,5005417.0,10986.0,"Moderna, Pfizer/BioNTech"
Italy,ITA,2021-04-21,16316820.0,4787119.0,328147.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Jamaica,JAM,2021-04-13,135473.0,,13076.0,Oxford/AstraZeneca
Japan,JPN,2021-04-22,2517045.0,849051.0,94759.0,Pfizer/BioNTech
Jersey,JEY,2021-04-18,77185.0,27772.0,904.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Jordan,JOR,2021-04-19,732052.0,124671.0,15289.0,"Pfizer/BioNTech, Sinopharm/Beijing"
Kazakhstan,KAZ,2021-04-22,956101.0,132603.0,43666.0,Sputnik V
Kenya,KEN,2021-04-21,750471.0,,25890.0,"Oxford/AstraZeneca, Sputnik V"
Kosovo,OWID_KOS,2021-04-18,16132.0,,1127.0,Oxford/AstraZeneca
Kuwait,KWT,2021-04-18,,,,Pfizer/BioNTech
Kyrgyzstan,KGZ,2021-04-12,2100.0,,203.0,Sinopharm/Beijing
Laos,LAO,2021-04-19,137026.0,30921.0,1139.0,"Sinopharm/Beijing, Sputnik V"
Latvia,LVA,2021-04-22,240822.0,35438.0,6051.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Lebanon,LBN,2021-04-22,372427.0,143230.0,7401.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Lesotho,LSO,2021-04-17,16000.0,,410.0,Oxford/AstraZeneca
Libya,LBY,2021-04-17,750.0,,,"Oxford/AstraZeneca, Sinovac, Sputnik V"
Liechtenstein,LIE,2021-04-18,8860.0,2984.0,207.0,"Moderna, Pfizer/BioNTech"
Lithuania,LTU,2021-04-22,847735.0,237585.0,13516.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,LUX,2021-04-21,170038.0,46901.0,3218.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Macao,MAC,2021-04-22,88292.0,31361.0,1886.0,"Pfizer/BioNTech, Sinopharm/Beijing"
Malawi,MWI,2021-04-22,267293.0,,3034.0,Oxford/AstraZeneca
Malaysia,MYS,2021-04-20,1210779.0,462335.0,22949.0,"Pfizer/BioNTech, Sinovac"
Maldives,MDV,2021-04-21,349757.0,62586.0,6572.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Mali,MLI,2021-04-12,26226.0,,2558.0,Oxford/AstraZeneca
Malta,MLT,2021-04-21,295587.0,93727.0,5188.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Mauritania,MRT,2021-04-08,2930.0,,223.0,Sinopharm/Beijing
Mauritius,MUS,2021-03-24,117323.0,,3242.0,Oxford/AstraZeneca
Mexico,MEX,2021-04-22,15477517.0,4978670.0,366365.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
Moldova,MDA,2021-04-22,109899.0,11358.0,3412.0,Oxford/AstraZeneca
Monaco,MCO,2021-04-16,22953.0,10859.0,174.0,Pfizer/BioNTech
Mongolia,MNG,2021-04-22,649236.0,,2674.0,Oxford/AstraZeneca
Montenegro,MNE,2021-04-22,58150.0,19027.0,1265.0,"Sinopharm/Beijing, Sputnik V"
Montserrat,MSR,2021-04-14,1751.0,467.0,15.0,Oxford/AstraZeneca
Morocco,MAR,2021-04-22,8914956.0,4207298.0,26644.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
Mozambique,MOZ,2021-03-23,57305.0,,1087.0,Sinopharm/Beijing
Myanmar,MMR,2021-03-31,1040000.0,40000.0,12222.0,Oxford/AstraZeneca
Namibia,NAM,2021-04-19,4748.0,128.0,268.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
Nauru,NRU,2021-04-09,168.0,,168.0,Oxford/AstraZeneca
Nepal,NPL,2021-04-21,1966506.0,,12420.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
Netherlands,NLD,2021-04-21,4873624.0,,107029.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
New Zealand,NZL,2021-04-20,183351.0,42771.0,6686.0,Pfizer/BioNTech
Nicaragua,NIC,2021-04-14,61625.0,,1401.0,"Oxford/AstraZeneca, Sputnik V"
Niger,NER,2021-04-17,1366.0,,68.0,Sinopharm/Beijing
Nigeria,NGA,2021-04-22,1148168.0,,13867.0,Oxford/AstraZeneca
North Macedonia,MKD,2021-04-22,44974.0,,1419.0,Pfizer/BioNTech
Northern Cyprus,OWID_CYN,2021-04-19,107365.0,48553.0,441.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Norway,NOR,2021-04-21,1447305.0,304512.0,25824.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,OMN,2021-04-21,244821.0,46258.0,7430.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Pakistan,PAK,2021-04-13,,,,"CanSino, Sinopharm/Beijing, Sputnik V"
Palestine,PSE,2021-04-22,206354.0,38643.0,4070.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Panama,PAN,2021-04-22,555898.0,186776.0,720.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Papua New Guinea,PNG,2021-04-11,1081.0,,119.0,Oxford/AstraZeneca
Paraguay,PRY,2021-04-19,93111.0,12683.0,4410.0,Sputnik V
Peru,PER,2021-04-21,1333570.0,556827.0,20376.0,"Pfizer/BioNTech, Sinopharm/Beijing"
Philippines,PHL,2021-04-21,1612420.0,214792.0,43776.0,"Oxford/AstraZeneca, Sinovac"
Poland,POL,2021-04-22,9806966.0,2495838.0,188879.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,2021-04-22,2829406.0,734286.0,67081.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Qatar,QAT,2021-04-22,1345423.0,,23176.0,Pfizer/BioNTech
Romania,ROU,2021-04-21,4487643.0,1686583.0,81246.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,2021-04-22,17218313.0,6430894.0,293459.0,"EpiVacCorona, Sputnik V"
Rwanda,RWA,2021-04-16,349702.0,,60.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Saint Helena,SHN,2021-04-09,4572.0,1009.0,61.0,Oxford/AstraZeneca
Saint Kitts and Nevis,KNA,2021-04-15,11451.0,,181.0,Oxford/AstraZeneca
Saint Lucia,LCA,2021-04-21,23829.0,,69.0,Oxford/AstraZeneca
Saint Vincent and the Grenadines,VCT,2021-04-17,12764.0,,91.0,Oxford/AstraZeneca
San Marino,SMR,2021-04-21,24262.0,8641.0,662.0,"Pfizer/BioNTech, Sputnik V"
Sao Tome and Principe,STP,2021-03-29,9724.0,,823.0,Oxford/AstraZeneca
Saudi Arabia,SAU,2021-04-22,7767501.0,,153885.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Senegal,SEN,2021-04-22,392439.0,,2209.0,Sinopharm/Beijing
Serbia,SRB,2021-04-22,3176769.0,1284370.0,22338.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,SYC,2021-04-19,116957.0,50524.0,844.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
Sierra Leone,SLE,2021-04-15,44347.0,1781.0,1118.0,Oxford/AstraZeneca
Singapore,SGP,2021-04-18,2213888.0,849764.0,45530.0,"Moderna, Pfizer/BioNTech"
Slovakia,SVK,2021-04-22,1392593.0,396109.0,21001.0,Pfizer/BioNTech
Slovenia,SVN,2021-04-22,562457.0,167467.0,9235.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Solomon Islands,SLB,2021-03-31,2000.0,,250.0,Oxford/AstraZeneca
Somalia,SOM,2021-04-17,117567.0,,,"Oxford/AstraZeneca, Sinopharm/Beijing"
South Africa,ZAF,2021-04-13,292623.0,292623.0,2884.0,Johnson&Johnson
South Korea,KOR,2021-04-22,2114700.0,79151.0,96354.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
South Sudan,SSD,2021-04-15,947.0,,95.0,Oxford/AstraZeneca
Spain,ESP,2021-04-22,13909964.0,3768015.0,289268.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sri Lanka,LKA,2021-04-11,925242.0,,109.0,Oxford/AstraZeneca
Sudan,SDN,2021-04-10,100010.0,,8601.0,Oxford/AstraZeneca
Suriname,SUR,2021-04-22,35777.0,,211.0,Oxford/AstraZeneca
Sweden,SWE,2021-04-22,2711601.0,700650.0,67020.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,2021-04-18,2091809.0,765613.0,40501.0,"Moderna, Pfizer/BioNTech"
Syria,SYR,2021-04-08,2500.0,,66.0,Sputnik V
Taiwan,TWN,2021-04-22,39221.0,,1312.0,Oxford/AstraZeneca
Thailand,THA,2021-04-19,666210.0,94385.0,13076.0,"Oxford/AstraZeneca, Sinovac"
Timor,TLS,2021-04-14,2629.0,,,Oxford/AstraZeneca
Togo,TGO,2021-04-17,160000.0,,10050.0,Oxford/AstraZeneca
Tonga,TON,2021-04-16,500.0,,250.0,Oxford/AstraZeneca
Trinidad and Tobago,TTO,2021-04-18,16462.0,,1176.0,Oxford/AstraZeneca
Tunisia,TUN,2021-04-21,316580.0,51215.0,19079.0,"Pfizer/BioNTech, Sinovac, Sputnik V"
Turkey,TUR,2021-04-22,20728975.0,7932297.0,183387.0,"Pfizer/BioNTech, Sinovac"
Turks and Caicos Islands,TCA,2021-03-29,24300.0,10000.0,312.0,Pfizer/BioNTech
Uganda,UGA,2021-04-20,253562.0,,6693.0,Oxford/AstraZeneca
Ukraine,UKR,2021-04-22,508049.0,5.0,10747.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
United Arab Emirates,ARE,2021-04-22,10001241.0,,87700.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
United Kingdom,GBR,2021-04-21,44450252.0,11192601.0,498850.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,2021-04-22,218947643.0,89245776.0,2947229.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
Uruguay,URY,2021-04-22,1529024.0,428084.0,39891.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Uzbekistan,UZB,2021-04-20,458555.0,,33957.0,Oxford/AstraZeneca
Venezuela,VEN,2021-04-12,250000.0,,15200.0,Sputnik V
Vietnam,VNM,2021-04-22,128610.0,,9265.0,Oxford/AstraZeneca
Zambia,ZMB,2021-04-20,3391.0,,565.0,Oxford/AstraZeneca
Zimbabwe,ZWE,2021-04-22,351799.0,43728.0,9417.0,Sinopharm/Beijing
