country,total_cases,total_deaths,population,proportionate_total_cases,proportionate_total_deaths
Andorra,12942.0,123.0,77265.0,0.16750145602795574,0.0015919238982721802
Montenegro,96187.0,1451.0,628062.0,0.15314889294369027,0.002310281469026943
Czechia,1612832.0,28787.0,10708982.0,0.15060553841625657,0.002688117320581919
San Marino,5045.0,88.0,33938.0,0.14865342683717367,0.002592963639578054
Slovenia,234811.0,4187.0,2078932.0,0.11294789824775414,0.0020140148884138587
Luxembourg,65813.0,790.0,625976.0,0.10513661865630632,0.0012620292151775787
Serbia,673520.0,6130.0,6804596.0,0.09898015988017511,0.0009008617117019144
Bahrain,168201.0,614.0,1701583.0,0.09884971817419426,0.0003608404644381144
Israel,837807.0,6346.0,8655541.0,0.0967942962779565,0.0007331719646409161
United States,31929351.0,570345.0,331002647.0,0.09646252466373781,0.0017230828972796704
Sweden,932076.0,13882.0,10099270.0,0.0922914230434477,0.0013745547945544579
Estonia,119218.0,1120.0,1326539.0,0.08987146250506016,0.0008443023537189634
Lithuania,237950.0,3818.0,2722291.0,0.08740799569186394,0.0014024951777748963
Netherlands,1460753.0,17226.0,17134873.0,0.08525029628174075,0.0010053182185826531
Panama,361992.0,6198.0,4314768.0,0.0838960518850608,0.001436461937235096
Belgium,964526.0,23909.0,11589616.0,0.08322329229889928,0.002062967401163248
Portugal,832891.0,16956.0,10196707.0,0.08168235097860516,0.001662889793734389
France,5469674.0,102323.0,68147687.0,0.08026206377334567,0.0015014889646951628
Hungary,760967.0,26001.0,9660350.0,0.07877219769470051,0.002691517388086353
Croatia,316308.0,6738.0,4105268.0,0.07704929373673046,0.001641305756408595
Lebanon,516600.0,7057.0,6825442.0,0.07568740603172659,0.0010339257149939887
Georgia,300264.0,3981.0,3989175.0,0.0752696986218955,0.0009979507040929515
Liechtenstein,2851.0,57.0,38137.0,0.0747567978603456,0.0014946115321079266
Switzerland,644396.0,10555.0,8654618.0,0.07445689688441477,0.001219580113183505
Spain,3456886.0,77496.0,46754783.0,0.07393652110416168,0.0016574988702225395
Poland,2731256.0,64168.0,37846605.0,0.07216647305616977,0.0016954757236481318
North Macedonia,149221.0,4595.0,2083380.0,0.0716244756117463,0.002205550595666657
Armenia,211399.0,3969.0,2963234.0,0.07134063661526562,0.0013394149770149775
Qatar,199980.0,407.0,2881060.0,0.06941195254524377,0.0001412674501745885
Slovakia,378150.0,11357.0,5459643.0,0.06926277047784993,0.0020801726413247168
Jordan,697487.0,8474.0,10203140.0,0.06836003426396188,0.0008305286411830084
Cyprus,59792.0,296.0,875899.0,0.06826357833494501,0.00033793850660863864
Malta,30096.0,411.0,441539.0,0.06816158934997814,0.0009308351017690397
Austria,602494.0,10026.0,9006400.0,0.0668962071415882,0.0011132083851483389
Brazil,14167973.0,383502.0,212559409.0,0.06665417949106173,0.0018042108876958724
United Kingdom,4413834.0,127597.0,67886004.0,0.06501832100767045,0.001879577416281565
Italy,3920945.0,118357.0,60461828.0,0.06484992481537277,0.0019575491498536896
Argentina,2796768.0,60620.0,45195777.0,0.061881179739425654,0.0013412757568035615
Monaco,2423.0,31.0,39244.0,0.06174192233207624,0.0007899296707776986
Kuwait,262766.0,1493.0,4270563.0,0.06152959223409185,0.00034960261679783207
Moldova,248009.0,5668.0,4033963.0,0.06148023668040584,0.0014050699027234508
Latvia,113561.0,2088.0,1886202.0,0.06020617091912743,0.0011069864203303783
Chile,1148320.0,25532.0,19116209.0,0.060070487825279587,0.0013356204674263605
Bosnia and Herzegovina,194371.0,8164.0,3280815.0,0.05924473034901389,0.0024884060820253504
Bulgaria,392913.0,15618.0,6948445.0,0.05654689646388508,0.0022476971466277706
Palestine,287680.0,3115.0,5101416.0,0.05639218601266786,0.0006106147783282132
Romania,1039998.0,26943.0,19237682.0,0.054060463209652805,0.0014005325589642244
Colombia,2720619.0,70026.0,50882884.0,0.05346825466889809,0.0013762191624201176
Turkey,4501382.0,37329.0,84339067.0,0.05337244245303306,0.00044260627165818657
Kosovo,102720.0,2115.0,1932774.0,0.053146410289045695,0.0010942821043743345
Peru,1734606.0,58604.0,32971846.0,0.05260870137510651,0.0017773951752655887
Seychelles,5170.0,26.0,98340.0,0.052572706935123045,0.00026438885499288184
United Arab Emirates,504872.0,1565.0,9890400.0,0.05104667151985764,0.0001582342473509666
Uruguay,175891.0,2160.0,3473727.0,0.05063466415178856,0.0006218105222431123
Maldives,27084.0,71.0,540542.0,0.05010526471578527,0.00013134964535595754
Ireland,245310.0,4866.0,4937796.0,0.049680059686548414,0.000985459909643898
Ukraine,2043901.0,43041.0,43733759.0,0.04673508627511301,0.0009841596282633743
Costa Rica,235274.0,3125.0,5094114.0,0.0461854603175351,0.0006134530950818926
Albania,130114.0,2364.0,2877800.0,0.0452130099381472,0.000821460838140246
Denmark,246455.0,2468.0,5792203.0,0.04254944103305772,0.00042609003862606335
Germany,3254609.0,81203.0,83783945.0,0.0388452584800107,0.0009691952318549812
Cape Verde,21500.0,199.0,555988.0,0.03866989935034569,0.0003579213939869206
Belarus,348486.0,2463.0,9449321.0,0.03687947525541782,0.00026065364908229915
Paraguay,260382.0,5633.0,7132530.0,0.036506260751794944,0.0007897618376648959
Oman,185278.0,1942.0,5106622.0,0.036281910037594324,0.0003802905325673214
Russia,4682573.0,105328.0,145934460.0,0.0320868217143504,0.00072174865347088
Belize,12596.0,320.0,397621.0,0.03167840732758079,0.0008047864675155488
Greece,326395.0,9788.0,10423056.0,0.03131471230702397,0.0009390719957755192
Canada,1164108.0,23810.0,37742157.0,0.030843706150658002,0.0006308595452029941
Azerbaijan,307980.0,4274.0,10139175.0,0.03037525242438364,0.00042153331015590517
Iran,2335905.0,68366.0,83992953.0,0.027810725978404404,0.0008139492369080058
South Africa,1571348.0,53995.0,59308690.0,0.02649439736402878,0.0009104062153455083
Libya,174216.0,2936.0,6871287.0,0.025354202204041252,0.00042728531059756347
Bolivia,294391.0,12758.0,11673029.0,0.02521976086926538,0.001092946826397844
Iraq,1010304.0,15128.0,40222503.0,0.02511787990916428,0.0003761078717552709
Bahamas,9868.0,194.0,393248.0,0.025093579624054032,0.0004933273659370168
Tunisia,294138.0,10063.0,11818618.0,0.024887681453110676,0.0008514531902122566
Saint Lucia,4455.0,70.0,183629.0,0.02426087382711881,0.0003812034046909802
Dominican Republic,262935.0,3441.0,10847904.0,0.02423832290551244,0.0003172041345498633
Ecuador,365393.0,17965.0,17643060.0,0.02071029628647185,0.001018247401527853
Honduras,204828.0,5047.0,9904608.0,0.020680071336493074,0.0005095608024063143
Norway,109581.0,735.0,5421242.0,0.02021326478323602,0.00013557778826327988
Botswana,45855.0,691.0,2351625.0,0.019499282411098707,0.0002938393663955775
Kazakhstan,352988.0,3304.0,18776707.0,0.018799249516968018,0.0001759626967604064
Iceland,6379.0,29.0,341250.0,0.018693040293040294,8.498168498168498e-05
Namibia,47172.0,616.0,2540916.0,0.018564958463798093,0.00024243225671372057
Mexico,2319596.0,214079.0,128932753.0,0.01799074281769195,0.0016603926854800036
Suriname,9865.0,191.0,586634.0,0.016816277269984352,0.00032558631105595654
Saint Vincent and the Grenadines,1827.0,10.0,110947.0,0.016467322234941007,9.01331266280296e-05
Eswatini,18426.0,671.0,1160164.0,0.01588223733885899,0.0005783665068042104
Guyana,12234.0,277.0,786559.0,0.015553823680105371,0.00035216684317387507
Finland,85077.0,902.0,5540718.0,0.0153548691703855,0.0001627947858021289
Jamaica,44502.0,751.0,2961161.0,0.015028564809545985,0.00025361674019075625
Kyrgyzstan,93006.0,1566.0,6524191.0,0.014255560574483487,0.00024002976001162444
Morocco,507938.0,8976.0,36910558.0,0.013761319999551347,0.00024318245202361883
Barbados,3806.0,44.0,287371.0,0.013244203486085931,0.00015311217902989516
Antigua and Barbuda,1217.0,31.0,97928.0,0.012427497753451516,0.000316559104648313
Guatemala,218145.0,7345.0,17915567.0,0.012176282224280147,0.00040997865152690954
Malaysia,384688.0,1407.0,32365998.0,0.011885559654301407,4.3471546899310816e-05
India,16263695.0,186920.0,1380004385.0,0.011785248783829045,0.0001354488449687064
Saudi Arabia,409093.0,6869.0,34813867.0,0.011750863528030368,0.00019730643539254055
Djibouti,10697.0,130.0,988002.0,0.010826901160119109,0.00013157868101481575
El Salvador,68161.0,2089.0,6486201.0,0.01050861667715817,0.0003220683416995557
Sao Tome and Principe,2292.0,35.0,219161.0,0.010458065075446818,0.00015969994661458928
Singapore,60904.0,30.0,5850343.0,0.010410329787501348,5.127904466456069e-06
Nepal,292152.0,3117.0,29136808.0,0.01002690480027874,0.00010697808764776156
Gabon,22228.0,136.0,2225728.0,0.009986844753716537,6.110360295597665e-05
Philippines,971049.0,16370.0,109581085.0,0.008861465461854115,0.0001493870954097598
Mongolia,26692.0,61.0,3278292.0,0.008142044698885883,1.860725036085864e-05
Trinidad and Tobago,9383.0,157.0,1399491.0,0.006704580451035412,0.00011218364391053605
Venezuela,188063.0,1987.0,28435943.0,0.006613566499271714,6.987635331805243e-05
Indonesia,1626812.0,44172.0,273523621.0,0.005947610645297797,0.00016149245114007905
Equatorial Guinea,7505.0,106.0,1402985.0,0.005349308795175999,7.555319550814869e-05
Lesotho,10723.0,316.0,2142252.0,0.005005480214279179,0.00014750832301708668
Zambia,91189.0,1240.0,18383956.0,0.004960249034538594,6.74501179180368e-05
Sri Lanka,98722.0,634.0,21413250.0,0.004610323047645733,2.960783626959943e-05
Bangladesh,736074.0,10781.0,164689383.0,0.004469468441690622,6.546262912406443e-05
Japan,553362.0,9778.0,126476458.0,0.004375217402119215,7.731083044719674e-05
Mauritania,18192.0,454.0,4649660.0,0.003912544143012607,9.764154798415368e-05
Pakistan,784108.0,16842.0,220892331.0,0.003549729392823511,7.62452907430272e-05
Ghana,91928.0,777.0,31072945.0,0.002958457912502339,2.5005676159758916e-05
Kenya,154392.0,2560.0,53771300.0,0.002871271477535414,4.760904051045818e-05
Algeria,120363.0,3181.0,43851043.0,0.0027448149864987247,7.25410339726697e-05
Uzbekistan,87935.0,640.0,33469199.0,0.00262734103675442,1.9122059060929423e-05
Myanmar,142674.0,3206.0,54409794.0,0.0026222117290133464,5.89232151843839e-05
Zimbabwe,38018.0,1555.0,14862927.0,0.0025579080082947323,0.00010462273009885604
Cameroon,64809.0,939.0,26545864.0,0.002441397273789996,3.5372742058800576e-05
Gambia,5820.0,173.0,2416664.0,0.0024082785194797455,7.158628588831546e-05
Dominica,172.0,,71991.0,0.002389187537331055,
Senegal,39975.0,1097.0,16743930.0,0.0023874323411528834,6.551627963088713e-05
South Korea,117458.0,1811.0,51269183.0,0.0022910058855433683,3.532336374464949e-05
Mozambique,69523.0,805.0,31255435.0,0.002224349141197363,2.5755520599857274e-05
Ethiopia,247989.0,3496.0,114963583.0,0.0021571091777819766,3.0409629804248534e-05
Egypt,219774.0,12914.0,102334403.0,0.002147606216064015,0.00012619412066145537
Rwanda,24262.0,328.0,12952209.0,0.0018731939856745671,2.5323865604701098e-05
Congo,10084.0,139.0,5518092.0,0.0018274432539363244,2.5189866352355126e-05
Malawi,33989.0,1145.0,19129955.0,0.0017767422871616792,5.985377383271419e-05
Cote d'Ivoire,45715.0,277.0,26378275.0,0.0017330549476794823,1.0501065744443108e-05
Guinea,21745.0,139.0,13132792.0,0.0016557789082473856,1.0584192607329805e-05
Togo,12698.0,121.0,8278737.0,0.001533808840648036,1.4615756002395051e-05
Afghanistan,58312.0,2561.0,38928341.0,0.0014979318024366875,6.578754537728695e-05
Grenada,159.0,1.0,112519.0,0.001413094677343382,8.887387907820013e-06
Bhutan,992.0,1.0,771612.0,0.0012856202340036185,1.2959881391165507e-06
Timor,1657.0,3.0,1318442.0,0.0012567864191219637,2.27541294952679e-06
Syria,21725.0,1496.0,17500657.0,0.001241381966402747,8.54825050282398e-05
Australia,29638.0,910.0,25499881.0,0.001162279933776946,3.5686441046528804e-05
Papua New Guinea,10338.0,99.0,8947027.0,0.0011554676206967968,1.1065128114623997e-05
Nicaragua,6835.0,181.0,6624554.0,0.0010317675725792256,2.7322594094636408e-05
Mauritius,1205.0,16.0,1271767.0,0.0009475006034910483,1.2580920876229687e-05
South Sudan,10504.0,114.0,11193729.0,0.0009383825533028359,1.0184273712540298e-05
Uganda,41529.0,341.0,45741000.0,0.0009079163114055224,7.455018473579502e-06
Somalia,13459.0,689.0,15893219.0,0.0008468391456759012,4.335182193110156e-05
Saint Kitts and Nevis,44.0,,53192.0,0.000827192058956234,
Nigeria,164588.0,2061.0,206139587.0,0.0007984298522922723,9.998079602245444e-06
Sudan,33599.0,2300.0,43849269.0,0.0007662385432240615,5.245241374491328e-05
Angola,25051.0,572.0,32866268.0,0.0007622100568278698,1.740386222129023e-05
Thailand,48113.0,117.0,69799978.0,0.000689298211526657,1.676218293363932e-06
Mali,13420.0,456.0,20250834.0,0.0006626887564235626,2.2517591127358015e-05
New Zealand,2600.0,26.0,4822233.0,0.0005391693018566295,5.391693018566295e-06
Brunei,223.0,3.0,437483.0,0.0005097340925247381,6.857409316476298e-06
Sierra Leone,4044.0,79.0,7976985.0,0.0005069584561084169,9.903491105975504e-06
Cambodia,8193.0,59.0,16718971.0,0.0004900421204151858,3.528925314841446e-06
Niger,5143.0,191.0,24206636.0,0.00021246240080612607,7.890398318874212e-06
Fiji,86.0,2.0,896444.0,9.59346038347069e-05,2.231037298481556e-06
China,102332.0,4844.0,1439323774.0,7.109727626857083e-05,3.3654693179548634e-06
Taiwan,1086.0,11.0,23816775.0,4.5598113094657025e-05,4.618593407377783e-07
Solomon Islands,20.0,,686878.0,2.911725226313843e-05,
Vietnam,2824.0,35.0,97338583.0,2.9012133862684236e-05,3.595696477315681e-07
Laos,94.0,,7275556.0,1.2919974775810948e-05,
Anguilla,,,15002.0,,
Aruba,,,106766.0,,
Bermuda,,,62273.0,,
Cayman Islands,,,65720.0,,
Curacao,,,164100.0,,
Faeroe Islands,,,48865.0,,
Falkland Islands,,,3483.0,,
Gibraltar,,,33691.0,,
Greenland,,,56772.0,,
Guernsey,,,67052.0,,
Hong Kong,,,7496988.0,,
Isle of Man,,,85032.0,,
Jersey,,,101073.0,,
Macao,,,649342.0,,
Montserrat,,,4999.0,,
Nauru,,,10834.0,,
Northern Cyprus,,,,,
Saint Helena,,,6071.0,,
Tonga,,,105697.0,,
Turks and Caicos Islands,,,38718.0,,
